	Post_bronchodilator_FEV1FVC_ratio	Body_mass_index	Post_bronchodilator_FEV1	Schizophrenia	Breast_cancer	Obesityrelated_traits	Height	Coronary_artery_disease
RFXANK (ANKRA1, RFXB, Tvl-1)	-3.630582	-1.943635	-1.704598	-1.081566	-0.417789	-6.214927	-0.203822	0.763731
NRF-1 (&#945;-pal)	-6.159925	-3.486891	-2.426190	2.376144	1.781611	-7.158650	4.267723	3.717745
NONO (NMT55, p54(nrb), NRB54)	-4.773487	-4.679714	-0.862981	1.927382	0.138560	-6.179146	2.372330	3.406466
SFPQ (PSF)	-3.452504	-0.789793	-0.617434	1.880283	3.354725	-2.282419	-0.050726	1.488020
TSC22D4 (TILZ2)	-6.620198	-3.731984	-6.584276	-6.014062	-0.013334	-6.914411	0.523598	0.936603
c-Jun	-3.083545	-3.704649	-3.750687	-0.219526	0.243028	-2.508422	1.816783	4.511776
JunB	-3.593027	-1.476179	-7.150430	-4.223706	3.080831	-3.785137	1.810074	0.310123
JunD	0.148589	0.134676	-2.348173	-2.183636	1.500600	-1.699600	-0.629170	-0.577296
NF-E2 p45	-5.732721	-4.403234	-3.274834	1.972907	-6.807102	-2.257811	3.203325	4.005101
NF-E2L1 (NRF1)	1.942758	-0.184926	1.236135	0.530659	-1.130422	-0.667961	0.974082	-1.479075
